run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR321131	PRJEB4336	SAMEA2155745	ERX294264	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321131/ERR321131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321131/ERR321131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321131/MetaHIT-MH0028_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321131/MetaHIT-MH0028_081223.rmHuman.rmHost.2.fq.gz	
ERR321137	PRJEB4336	SAMEA2163271	ERX294270	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321137/ERR321137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321137/ERR321137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321137/MetaHIT-MH0032_081224.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321137/MetaHIT-MH0032_081224.rmHuman.rmHost.2.fq.gz	
ERR321138	PRJEB4336	SAMEA2163271	ERX294271	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321138/ERR321138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321138/ERR321138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321138/MetaHIT-MH0032_090121.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321138/MetaHIT-MH0032_090121.rmHuman.rmHost.2.fq.gz	
ERR321139	PRJEB4336	SAMEA2146321	ERX294272	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321139/ERR321139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321139/ERR321139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321139/MetaHIT-MH0033_081224.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321139/MetaHIT-MH0033_081224.rmHuman.rmHost.2.fq.gz	
ERR321141	PRJEB4336	SAMEA2154082	ERX294274	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321141/ERR321141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321141/ERR321141_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321141/MetaHIT-MH0034_081213.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321141/MetaHIT-MH0034_081213.rmHuman.rmHost.2.fq.gz	
ERR321147	PRJEB4336	SAMEA2143295	ERX294280	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321147/ERR321147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321147/ERR321147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321147/MetaHIT-MH0037_081226.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321147/MetaHIT-MH0037_081226.rmHuman.rmHost.2.fq.gz	
ERR321151	PRJEB4336	SAMEA2156186	ERX294284	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321151/ERR321151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321151/ERR321151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321151/MetaHIT-MH0039_081226.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321151/MetaHIT-MH0039_081226.rmHuman.rmHost.2.fq.gz	
ERR321153	PRJEB4336	SAMEA2152602	ERX294286	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321153/ERR321153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321153/ERR321153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321153/MetaHIT-MH0040_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321153/MetaHIT-MH0040_081223.rmHuman.rmHost.2.fq.gz	
ERR321154	PRJEB4336	SAMEA2152602	ERX294287	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321154/ERR321154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321154/ERR321154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321154/MetaHIT-MH0040_090125.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321154/MetaHIT-MH0040_090125.rmHuman.rmHost.2.fq.gz	
ERR321156	PRJEB4336	SAMEA2149030	ERX294289	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321156/ERR321156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321156/ERR321156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321156/MetaHIT-MH0041_090125.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321156/MetaHIT-MH0041_090125.rmHuman.rmHost.2.fq.gz	
ERR321163	PRJEB4336	SAMEA1972002	ERX294296	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321163/ERR321163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321163/ERR321163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321163/MetaHIT-MH0045_081223.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321163/MetaHIT-MH0045_081223.rmHuman.rmHost.2.fq.gz	
ERR321172	PRJEB4336	SAMEA2157043	ERX294305	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321172/ERR321172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321172/ERR321172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321172/MetaHIT-MH0049_090201.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321172/MetaHIT-MH0049_090201.rmHuman.rmHost.2.fq.gz	
ERR321175	PRJEB4336	SAMEA2143176	ERX294308	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321175/ERR321175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321175/ERR321175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321175/MetaHIT-MH0051_081226.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321175/MetaHIT-MH0051_081226.rmHuman.rmHost.2.fq.gz	
ERR321179	PRJEB4336	SAMEA2155953	ERX294312	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321179/ERR321179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321179/ERR321179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321179/MetaHIT-MH0053_081222.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321179/MetaHIT-MH0053_081222.rmHuman.rmHost.2.fq.gz	
ERR321180	PRJEB4336	SAMEA2155953	ERX294313	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321180/ERR321180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321180/ERR321180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321180/MetaHIT-MH0053_090125.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321180/MetaHIT-MH0053_090125.rmHuman.rmHost.2.fq.gz	
ERR321181	PRJEB4336	SAMEA2146778	ERX294314	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321181/ERR321181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321181/ERR321181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321181/MetaHIT-MH0054_081222.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321181/MetaHIT-MH0054_081222.rmHuman.rmHost.2.fq.gz	
ERR321185	PRJEB4336	SAMEA2150283	ERX294318	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321185/ERR321185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321185/ERR321185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321185/MetaHIT-MH0056_081230.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321185/MetaHIT-MH0056_081230.rmHuman.rmHost.2.fq.gz	
ERR321187	PRJEB4336	SAMEA2150839	ERX294320	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321187/ERR321187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321187/ERR321187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321187/MetaHIT-MH0057_081222.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321187/MetaHIT-MH0057_081222.rmHuman.rmHost.2.fq.gz	
ERR321189	PRJEB4336	SAMEA2152254	ERX294322	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321189/ERR321189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321189/ERR321189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321189/MetaHIT-MH0058_081230.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321189/MetaHIT-MH0058_081230.rmHuman.rmHost.2.fq.gz	
ERR321190	PRJEB4336	SAMEA2152254	ERX294323	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321190/ERR321190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321190/ERR321190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321190/MetaHIT-MH0058_090125.rmHuman.rmHost.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR321/ERR321190/MetaHIT-MH0058_090125.rmHuman.rmHost.2.fq.gz	
