run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR504974	PRJEB5224	SAMEA2531403	ERX470331	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR504/ERR504974/ERR504974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR504/ERR504974/ERR504974_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR504/ERR504974/DLM006-IE_100924L2.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR504/ERR504974/DLM006-IE_100924L2.rmhost.pair.2.fq.gz	
ERR504978	PRJEB5224	SAMEA2531407	ERX470335	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR504/ERR504978/ERR504978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR504/ERR504978/ERR504978_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR504/ERR504978/NOF007-IE_101006L4.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR504/ERR504978/NOF007-IE_101006L4.rmhost.pair.2.fq.gz	
ERR504980	PRJEB5224	SAMEA2531403	ERX470337	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR504/ERR504980/ERR504980.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR504/ERR504980/DLM006-IE_100924L2.rmhost.single.fq.gz	
ERR414232	PRJEB5224	SAMEA2338624	ERX380535	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414232/ERR414232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414232/ERR414232_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414232/MH0221_101031.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414232/MH0221_101031.rmhost.pair.2.fq.gz	
ERR414234	PRJEB5224	SAMEA2338626	ERX380537	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414234/ERR414234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414234/ERR414234_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414234/MH0234_101031.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414234/MH0234_101031.rmhost.pair.2.fq.gz	
ERR414236	PRJEB5224	SAMEA2338628	ERX380539	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414236/ERR414236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414236/ERR414236_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414236/MH0245_101031.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414236/MH0245_101031.rmhost.pair.2.fq.gz	
ERR414242	PRJEB5224	SAMEA2338633	ERX380545	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414242/ERR414242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414242/ERR414242_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414242/MH0261_101007.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414242/MH0261_101007.rmhost.pair.2.fq.gz	
ERR414246	PRJEB5224	SAMEA2338637	ERX380549	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414246/ERR414246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414246/ERR414246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414246/MH0266_101031.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414246/MH0266_101031.rmhost.pair.2.fq.gz	
ERR414248	PRJEB5224	SAMEA2338639	ERX380551	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414248/ERR414248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414248/ERR414248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414248/MH0270_101031.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414248/MH0270_101031.rmhost.pair.2.fq.gz	
ERR414252	PRJEB5224	SAMEA2338642	ERX380555	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414252/ERR414252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414252/ERR414252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414252/MH0281_101031.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR414/ERR414252/MH0281_101031.rmhost.pair.2.fq.gz	
