run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR260132	PRJEB1786	SAMEA1906452	ERX234720	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260132/ERR260132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260132/NG-5636_304_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260132/NG-5636_304_2_sequence.fastq.gz	
ERR260133	PRJEB1786	SAMEA1906536	ERX234721	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260133/ERR260133_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260133/NG-5636_305_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260133/NG-5636_305_2_sequence.fastq.gz	
ERR260136	PRJEB1786	SAMEA1906516	ERX234724	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260136/ERR260136_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260136/NG-5636_327_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260136/NG-5636_327_2_sequence.fastq.gz	
ERR260139	PRJEB1786	SAMEA1906465	ERX234727	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260139/ERR260139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260139/NG-5636_334_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260139/NG-5636_334_2_sequence.fastq.gz	
ERR260145	PRJEB1786	SAMEA1906582	ERX234733	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260145/ERR260145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260145/NG-5636_354_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260145/NG-5636_354_2_sequence.fastq.gz	
ERR260146	PRJEB1786	SAMEA1906496	ERX234734	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260146/ERR260146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260146/ERR260146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260146/NG-5636_356_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260146/NG-5636_356_2_sequence.fastq.gz	
ERR260149	PRJEB1786	SAMEA1906437	ERX234737	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260149/ERR260149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260149/ERR260149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260149/NG-5636_370_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260149/NG-5636_370_2_sequence.fastq.gz	
ERR260150	PRJEB1786	SAMEA1906419	ERX234738	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260150/ERR260150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260150/ERR260150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260150/NG-5636_372_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260150/NG-5636_372_2_sequence.fastq.gz	
ERR260151	PRJEB1786	SAMEA1906571	ERX234739	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260151/ERR260151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260151/ERR260151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260151/NG-5636_378_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260151/NG-5636_378_2_sequence.fastq.gz	
ERR260153	PRJEB1786	SAMEA1906560	ERX234741	646099	human metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260153/ERR260153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR260/ERR260153/ERR260153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260153/NG-5636_381_1_sequence.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR260/ERR260153/NG-5636_381_2_sequence.fastq.gz	
