run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR209056	PRJEB1220	SAMEA2042280	ERX183721	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209056/ERR209056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209056/ERR209056_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209056/MH0001_081123.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209056/MH0001_081123.rmhost.pair.2.fq.gz	
ERR209060	PRJEB1220	SAMEA2042282	ERX183725	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209060/ERR209060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209060/ERR209060_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209060/MH0003_081203.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209060/MH0003_081203.rmhost.pair.2.fq.gz	
ERR209064	PRJEB1220	SAMEA2042283	ERX183729	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209064/ERR209064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209064/ERR209064_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209064/MH0004_081123.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209064/MH0004_081123.rmhost.pair.2.fq.gz	
ERR209066	PRJEB1220	SAMEA2042284	ERX183731	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209066/ERR209066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209066/ERR209066_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209066/MH0005_081120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209066/MH0005_081120.rmhost.pair.2.fq.gz	
ERR209076	PRJEB1220	SAMEA1972794	ERX183741	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209076/ERR209076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209076/ERR209076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209076/MH0008_081123.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209076/MH0008_081123.rmhost.pair.2.fq.gz	
ERR209080	PRJEB1220	SAMEA2042361	ERX183745	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209080/ERR209080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209080/ERR209080_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209080/MH0010_081113.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209080/MH0010_081113.rmhost.pair.2.fq.gz	
ERR209081	PRJEB1220	SAMEA2042361	ERX183746	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209081/ERR209081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209081/ERR209081_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209081/MH0010_081120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209081/MH0010_081120.rmhost.pair.2.fq.gz	
ERR209083	PRJEB1220	SAMEA2042362	ERX183748	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209083/ERR209083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209083/ERR209083_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209083/MH0011_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209083/MH0011_081224.rmhost.pair.2.fq.gz	
ERR209086	PRJEB1220	SAMEA2042363	ERX183751	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209086/ERR209086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209086/ERR209086_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209086/MH0012_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209086/MH0012_081224.rmhost.pair.2.fq.gz	
ERR209088	PRJEB1220	SAMEA2042363	ERX183753	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209088/ERR209088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209088/ERR209088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209088/MH0012_lane2.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209088/MH0012_lane2.rmhost.pair.2.fq.gz	
